#{"t_start": 1762023875.3610036, "env_id": "None"}
r,l,t
-6.919201,1251,854.110695
234.922539,2051,860.45746
150.866088,340,861.794548
162.619673,414,863.157631
426.483433,2436,872.010728
109.533287,1080,875.288942
129.221175,1141,878.699871
-95.250927,1465,893.144028
-58.924231,1481,898.3652
122.95149,408,899.720011
-34.928496,924,903.524095
140.864166,340,904.776826
159.778152,1400,909.323843
-54.885746,881,912.392982
182.839854,723,915.028305
162.079559,1071,918.781487
169.501558,1250,922.927343
135.925018,340,924.222456
122.810015,414,925.660664
209.149014,1184,941.473893
122.983981,414,943.420138
134.005153,1022,947.377083
-17.085479,2700,953.603858
122.615483,340,954.978444
-35.404271,2284,960.092999
155.916193,340,961.38943
49.065033,1596,966.473494
-110.087559,1058,970.064404
-73.265568,1569,984.919689
-122.357759,1238,989.50086
137.668333,539,991.751224
135.760323,340,992.984481
-107.638065,812,995.960823
26.063336,1353,1000.16378
122.934368,414,1001.453881
235.804188,765,1004.165918
-106.683843,814,1006.688297
-87.02902,724,1008.96069
139.163631,1093,1012.674549
122.879465,414,1013.910375
135.821342,340,1015.030495
135.945186,340,1016.227432
162.495543,853,1019.160719
313.085542,1650,1034.704817
135.85903,340,1035.90758
-106.97824,943,1039.244417
158.923806,1347,1043.594903
310.291232,1485,1047.801213
-94.263982,1442,1050.666321
-61.349377,1563,1055.599435
150.871021,340,1056.818209
137.708314,1069,1060.341579
-126.944638,858,1072.604539
-127.142841,1179,1076.184654
-119.912754,1037,1079.481449
-99.777925,1818,1084.813959
-139.138944,928,1086.906189
-112.791701,1182,1090.59696
12.677976,911,1093.962234
109.46494,836,1096.931264
135.556001,975,1100.549873
-92.299966,1627,1106.005015
145.757113,340,1116.033003
135.833612,340,1117.269389
147.957944,1691,1123.091822
274.014662,1446,1127.646371
123.129253,419,1128.9109
125.918731,452,1130.266626
109.775945,862,1133.537517
-102.257615,1439,1136.951061
-74.301873,932,1140.668017
-126.626505,714,1143.263162
225.557907,861,1146.375545
135.88498,340,1147.849246
5.255088,1759,1165.88198
233.974704,425,1167.333919
-35.075764,1510,1171.946572
135.783297,414,1173.246986
-121.055461,1158,1177.187076
128.975778,1271,1181.349715
-116.712034,1385,1186.020446
152.487441,866,1189.560543
144.036823,886,1193.075495
-61.336048,1982,1200.052523
-80.311738,2409,1214.820477
135.905312,414,1216.113239
-30.554293,1278,1220.575392
122.365677,702,1223.363395
137.883435,340,1224.575264
-84.520849,1316,1229.18318
140.87367,340,1230.46367
135.938432,340,1231.694858
116.443707,1440,1236.511439
109.064575,1106,1240.132257
163.278507,340,1241.37051
132.722732,837,1244.494664
135.944726,340,1252.833061
131.626327,1470,1257.878091
155.90158,418,1259.205133
150.807655,340,1260.407231
155.811858,340,1261.683508
127.3504,340,1262.88003
124.201885,2099,1269.561234
118.285802,1097,1273.042562
129.292461,1640,1278.547026
107.164118,1016,1282.807873
-10.480123,1910,1288.888489
-84.942372,1121,1302.567715
248.793869,1581,1307.579802
142.570285,1219,1311.522732
182.904518,340,1312.758911
-38.776825,741,1315.630883
140.902182,340,1316.786968
-94.211191,1936,1322.201208
149.081793,1337,1333.618895
185.947829,414,1336.578348
162.158458,672,1342.626257
155.814481,414,1345.589624
122.713688,414,1348.437902
135.929904,414,1372.670107
143.56586,1065,1381.576477
125.156417,1026,1390.060448
124.034059,812,1397.10019
-122.418225,1091,1406.043707
172.42591,1305,1415.899375
142.90164,414,1418.788577
135.527141,1142,1427.177115
132.809685,1025,1435.249132
-55.138533,1480,1446.503436
375.527844,1077,1455.863991
124.267323,939,1489.763127
154.109736,1611,1502.54899
261.83431,2199,1519.997841
122.939074,340,1522.513947
150.632797,414,1525.467712
140.96598,350,1528.008896
-123.419191,938,1533.299734
-90.194347,1805,1546.436983
0.903444,1434,1554.226009
142.614149,414,1557.229446
-91.78537,878,1590.744685
135.819559,340,1593.414111
-99.398563,2142,1610.189972
138.997123,442,1613.542328
-114.601779,789,1620.622343
100.992206,1514,1628.918934
-10.376362,2115,1645.426745
79.102475,2365,1663.20892
128.073268,340,1665.772614
1.511939,1909,1701.31025
-63.241556,1772,1714.763846
25.682475,2700,1728.399914
162.854271,414,1731.27541
-64.997906,1893,1745.815523
-127.015799,812,1752.715754
-7.401743,1018,1761.70032
123.230301,340,1764.218432
129.535471,793,1786.948964
36.127855,1615,1803.510874
-150.823344,767,1810.67057
122.983598,426,1813.525948
142.644765,743,1820.24677
122.718205,642,1825.753108
163.032693,1057,1834.089986
104.989478,1488,1845.846635
-60.11324,1236,1855.86513
-115.065885,973,1865.518919
-66.862784,851,1873.004891
-123.441146,1322,1906.787668
155.742388,408,1909.892894
-121.239822,993,1918.313407
150.824169,340,1920.952197
122.439416,1390,1932.03412
-29.68198,1180,1941.556403
182.448621,948,1949.712845
12.0571,2121,1966.362376
-95.093405,2091,1983.158699
-54.510375,1144,2006.112492
-126.424761,1021,2013.765978
135.779743,340,2016.300572
123.726186,1827,2030.486387
215.62493,1260,2040.957924
-75.688642,1501,2052.82875
-105.350613,1152,2062.501481
123.599836,340,2065.032632
187.489355,1387,2076.422488
154.538259,1810,2115.107604
17.510842,1317,2126.137303
-115.5145,1195,2135.294081
109.59611,1061,2144.297562
-127.203867,850,2151.595335
122.895538,414,2154.307312
-114.996981,1195,2163.876382
-74.927747,1316,2174.449371
174.035585,1272,2185.384127
127.616029,1005,2193.839947
243.423547,1018,2215.670408
189.567018,2194,2232.847767
122.8002,414,2235.668331
135.89683,340,2238.142291
149.329627,1660,2251.165466
119.467445,1120,2260.18019
-70.04969,1505,2271.795993
-87.0159,1092,2278.673599
-127.008128,818,2281.651495
167.866794,992,2284.746491
-121.80596,747,2290.05679
198.056327,1093,2293.572026
-127.041706,1104,2296.954419
50.263493,1729,2302.188152
137.46004,1093,2305.669019
-2.027206,912,2308.778975
-99.152025,1098,2312.401003
235.901851,340,2313.594298
254.109135,1638,2318.382845
137.393841,1167,2321.951474
-89.869986,1251,2339.251633
-95.902815,1714,2352.981041
24.653221,1139,2360.410203
135.830818,340,2361.725318
132.639055,713,2364.866547
209.604213,1124,2368.381515
122.424035,414,2369.627187
142.337312,766,2372.373208
160.737043,1011,2376.207507
-122.289635,639,2378.911012
-138.939183,586,2381.18302
-139.031854,1046,2383.808269
-70.641123,1239,2397.469704
-126.83832,763,2400.484643
-124.440478,1031,2403.52926
-85.079494,1509,2406.834841
206.546839,1020,2410.036255
-59.401139,1078,2413.239462
-139.214327,1056,2416.427519
-127.512341,1107,2419.730477
135.789701,340,2420.881978
-20.829193,2105,2426.952367
195.855604,776,2439.502152
-127.074807,744,2442.227236
142.559102,414,2443.584959
-88.440091,1367,2446.915982
106.002656,2700,2452.073036
123.878733,340,2453.175472
187.01971,1441,2457.503064
142.665811,414,2458.808228
-73.911489,1126,2462.426995
159.441473,852,2465.425272
144.972739,1530,2480.162585
-79.388928,951,2483.997982
114.117836,1006,2487.317725
135.861966,749,2489.839828
-109.632458,938,2492.735623
302.022392,1688,2497.38951
0.223076,907,2499.410949
142.870526,340,2500.585216
184.40685,1401,2504.971972
-100.033681,1284,2508.798063
-133.961282,1235,2523.205466
122.750444,734,2526.146672
-114.348912,1111,2529.992326
182.358694,624,2532.103482
215.979426,411,2533.349617
147.957678,1539,2537.651891
-105.099113,1604,2543.11448
234.322125,1404,2547.448012
195.0518,2026,2553.920605
-139.056463,830,2561.509645
128.102445,769,2564.832384
-105.483512,1284,2568.654421
124.104993,1585,2578.099562
135.889953,340,2580.672611
-75.338127,809,2587.822024
123.157537,720,2593.946097
225.697712,414,2596.768162
182.090495,1280,2601.703383
215.892984,425,2603.119635
132.497192,1036,2607.125598
167.095986,1388,2611.419557
135.864801,414,2612.698646
-127.278703,1092,2624.849034
-94.93961,1204,2628.745029
-74.969752,1053,2631.944229
-79.180385,1728,2635.464669
73.502062,2700,2642.218492
362.159021,1679,2648.183309
-35.021094,800,2650.95136
202.897534,985,2669.250265
137.750055,414,2671.99394
135.772934,340,2674.630914
-113.701027,1180,2680.753819
154.37632,933,2688.76622
175.947628,424,2692.019086
-100.18398,976,2698.683744
166.002894,412,2700.168616
-0.017694,1931,2705.441908
-65.03121,1494,2710.20512
84.952897,1544,2715.203929
12.815849,1124,2728.878004
109.76306,414,2730.441772
135.739317,340,2731.736643
-84.293924,1247,2735.890923
-138.97744,811,2738.086742
122.45058,1369,2742.982576
140.869539,340,2744.17755
162.358826,1014,2747.908794
124.816615,1101,2751.658956
155.767398,340,2753.112612
-64.908572,1442,2758.371129
-123.818428,886,2761.674886
-107.195803,983,2765.197809
5.75371,1831,2784.57903
-139.111292,724,2788.852613
215.807242,414,2791.80934
-124.824732,1267,2801.78701
134.464136,1327,2812.420691
182.445746,945,2820.312924
140.666112,340,2822.7472
-119.173576,2477,2830.368159
-112.272517,1603,2835.37827
-106.854598,927,2847.378247
1.269145,1745,2856.056716
109.515145,987,2860.82802
-110.048464,904,2865.259519
61.164304,1484,2869.536601
-19.555978,1241,2872.215286
121.511452,1631,2878.615158
133.234936,2700,2895.582173
-111.727014,1479,2900.757536
122.7876,340,2901.858173
-127.578883,947,2905.344907
-86.657252,932,2909.350127
127.969372,414,2910.597091
134.691386,842,2914.823838
192.711227,1038,2920.520946
142.337158,1507,2927.191857
-89.407396,972,2933.61648
109.546387,1719,2947.170956
-138.511996,1138,2977.320615
231.065287,1051,2987.115088
154.237594,1383,2997.388131
-114.678602,1011,3005.471517
135.739675,340,3007.910514
122.945249,340,3010.355938
-34.642484,871,3017.002823
124.450632,907,3024.783429
-138.941175,580,3028.492596
